"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2025-09-22","2025-10-05","3310335","Sullivan St","Chicken Salad Bar","240 Sullivan St  ","New York","NY","10012","2","0",,"0",,"0",,"33.57","0.00","0.00","0.00","33.57","2","1.000","2","1.000","0","0","2","00:06:30.000","00:05:30.000","00:05:00.000","00:38:00.000","1","1","0","0","0","0","0"
"2025-09-22","2025-10-05","10078568","Gold St","Sizzlin' Omelette Cafe","257 Gold St  ","Brooklyn","NY","11201","4","0",,"0",,"0",,"103.53","0.00","0.00","0.00","103.53","2","0.500","1","0.250","0","0","4","00:03:10.200","00:02:30.000","00:06:19.800","00:29:40.200","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2353713",,"The Pasta Twins","300 8th Ave ","New York","NY","10001","1","0",,"0",,"0",,"25.98","0.00","0.00","0.00","25.98","0",,"1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:37:00.000","00:42:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2460021",,"Jay's Breakfast Bar","4352 E Speedway Blvd ","Tucson","AZ","85712","1","0",,"0",,"0",,"25.98","0.00","0.00","0.00","25.98","0",,"1","1.000","0","0","1","00:07:00.000","00:00:00.000","00:12:00.000","00:26:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","1946630",,"Firenze Pasta Ristorante","59 4th Avenue  ","New York","NY","10003","2","0",,"0",,"0",,"59.95","0.00","0.00","0.00","59.95","1","0.500","1","0.500","0","0","2","00:04:00.000","00:01:00.000","00:06:30.000","00:30:30.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9824080","370 Main St","Addictive Burger Bar","370 Main St  ","East Orange","NJ","07018","8","1","0.125","2","0.250","2","0.250","139.58","-6.99","-31.45","-31.45","101.14","3","0.375","8","1.000","0","0","8","00:02:00.000","00:01:22.800","00:32:07.800","00:53:37.800","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2481874",,"Danny's Desserts","122 E 57th St ","New York","NY","10022","3","0",,"0",,"0",,"59.93","0.00","0.00","0.00","59.93","2","0.667","1","0.333","0","0","3","00:04:40.200","00:02:19.800","00:04:40.200","00:21:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9820976","4955 Voltaire St","The Smoothie Savage","4955 Voltaire St  ","San Diego","CA","92107","1","0",,"0",,"0",,"10.49","0.00","0.00","0.00","10.49","1","1.000","0",,"0","0","1","00:06:00.000","00:03:00.000","00:38:00.000","00:56:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8564424",,"The Burger Project","2511 Washington Blvd  ","Baltimore","MD","21230","1","0",,"0",,"0",,"18.18","0.00","0.00","0.00","18.18","0",,"0",,"0","0","1","00:03:00.000","00:03:00.000","00:23:00.000","00:42:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10929168","Agnew Rd","Priya's Indian Kitchen","2026 Agnew Rd  ","Santa Clara","CA","95054","1","0",,"0",,"0",,"25.17","0.00","0.00","0.00","25.17","0",,"1","1.000","0","0","1","00:01:00.000","00:00:00.000","00:13:00.000","00:25:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9822632","Plaza Center","Sizzlin' Omelette Cafe","101 Plaza Center  ","Secaucus","NJ","07094","1","0",,"0",,"0",,"18.18","0.00","0.00","0.00","18.18","1","1.000","1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:19:00.000","01:11:00.000","1","0","0","0","0","1","0"
"2025-09-22","2025-10-05","11801720","Dunsbach Rd","Wraps On Tap","77 Dunsbach Rd  ","Clifton Park","NY","12065","1","0",,"0",,"0",,"17.88","0.00","0.00","0.00","17.88","1","1.000","1","1.000","0","0","1","00:01:00.000","00:01:00.000","00:17:00.000","00:50:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","7096928","Leo's Coney Island - 15198 E 13 Mile Rd","Italiano Mac's","15198 E Thirteen Mile Rd  ","Warren","MI","48088","1","0",,"0",,"0",,"23.88","0.00","0.00","0.00","23.88","1","1.000","1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:16:00.000","00:28:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9822616","Avenue A","Beeman's Burger Bar","93 Avenue A  ","New York","NY","10009","2","0",,"0",,"0",,"34.23","0.00","0.00","0.00","34.23","2","1.000","1","0.500","0","0","2","00:09:30.000","00:09:00.000","00:08:30.000","00:30:30.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2729147",,"Pardon My Panini","755 9th Ave  ","New York","NY","10019","1","0",,"0",,"0",,"15.58","0.00","0.00","0.00","15.58","0",,"1","1.000","0","0","1","00:05:00.000","00:00:00.000","00:16:00.000","00:29:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8568712",,"The Village Smoothie Spot","1175 2nd Ave  ","New York","NY","10065","1","0",,"0",,"0",,"15.98","0.00","0.00","0.00","15.98","1","1.000","0",,"0","0","1","00:08:00.000","00:00:00.000","00:16:00.000","00:25:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6894120","Queens Bagels & Delicatessen - 115-20 Queens Blvd","First Light Breakfast Cafe","115-20 Queens Blvd  ","Queens","NY","11375","1","0",,"0",,"0",,"39.55","0.00","0.00","0.00","39.55","1","1.000","0",,"0","0","1","00:07:00.000","00:02:00.000","00:02:00.000","00:35:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","26","0",,"1","0.038","1","0.038","634.35","0.00","-16.78","-16.78","617.57","13","0.500","22","0.846","0","0","26","00:05:45.000","00:00:31.800","00:09:09.600","00:31:27.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6891656","Wholesome Farms Market - 840 Fulton St","Olivia's Breakfast Cafe","840 Fulton St  ","Brooklyn","NY","11238","4","0",,"0",,"0",,"72.97","0.00","0.00","0.00","72.97","3","0.750","3","0.750","0","0","4","00:12:20.400","00:00:20.400","00:16:00.000","00:33:20.400","1","1","0","0","0","0","0"
"2025-09-22","2025-10-05","5318408","Golden Restaurant and Bakery-1849 N Scottsdale Rd","Livia's Mediterranean Table","1849 N Scottsdale Rd  ","Tempe","AZ","85288","2","0",,"0",,"0",,"43.74","0.00","0.00","0.00","43.74","0",,"2","1.000","0","0","2","00:04:00.000","00:02:30.000","00:09:30.000","00:26:30.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9820952","1595 Seminole Blvd","Leon's Legendary Pizza","1595 Seminole Blvd  ","Largo","FL","33770","1","0",,"1","1.000","1","1.000","20.99","0.00","-20.99","-20.99","0.00","0",,"1","1.000","0","0","1",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3309654","9th Ave","Grilled Cheese Ecstatic","755 9th Ave  ","New York","NY","10019","1","0",,"0",,"0",,"21.08","0.00","0.00","0.00","21.08","1","1.000","1","1.000","0","0","1","00:02:00.000","00:00:00.000","00:02:00.000","00:14:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6891848","Thai Thai San Marcos Restaurant - 801 S Twin Oaks Valley Rd","Noodles of Thai","1450 West Mission Rd  ","San Marcos","CA","92069","1","0",,"1","1.000","1","1.000","33.98","0.00","-33.98","-33.98","0.00","0",,"0",,"0","0","1",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10498104","George St","Village Quesadilla","228 George St  ","New Brunswick","NJ","08901","2","0",,"0",,"0",,"79.93","0.00","0.00","0.00","79.93","1","0.500","1","0.500","0","0","2","00:01:30.000","00:01:30.000","00:26:30.000","00:46:30.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2644602",,"Local Breakfast Spot","755 9th Ave  #1B","New York","NY","10019","1","0",,"0",,"0",,"17.47","0.00","0.00","0.00","17.47","1","1.000","1","1.000","0","0","1","00:01:00.000","00:01:00.000","00:05:00.000","00:15:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3301276","7th Ave","Holy Grail Omelettes","154 7th Ave  ","New York","NY","10011","4","1","0.250","0",,"0",,"54.67","-3.68","0.00","0.00","50.99","1","0.250","3","0.750","0","0","4","00:07:15.000","00:03:45.000","00:05:15.000","00:25:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","1171908",,"NY Salad Snob","122 E 57th St  ","New York","NY","10022","1","0",,"0",,"0",,"34.98","0.00","0.00","0.00","34.98","0",,"1","1.000","0","1","0",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2847792",,"Julia's Juice Shack (Bedford Ave)","265 Bedford Ave  ","NY","NY","11211","1","0",,"0",,"0",,"12.87","0.00","0.00","0.00","12.87","1","1.000","1","1.000","0","0","1","00:01:00.000","00:00:00.000","00:04:00.000","00:19:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10938192","E 149th St","The Calzone Empire","560 E 149th St  ","Bronx","NY","10455","2","0",,"0",,"0",,"48.73","0.00","0.00","0.00","48.73","1","0.500","2","1.000","0","0","2","00:09:00.000","00:02:30.000","00:03:00.000","00:25:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8566160",,"Casa De Quesadilla","415 E Windmill Ln  ","Las Vegas","NV","89123","1","0",,"0",,"0",,"23.48","0.00","0.00","0.00","23.48","0",,"1","1.000","0","0","1","00:05:00.000","00:00:00.000","00:13:00.000","00:33:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6156944","21 Smith Pl","The Fried Chicken Crave","21 Smith Pl  ","Columbus","OH","43201","5","1","0.200","0",,"0",,"118.84","-8.39","0.00","0.00","110.45","3","0.600","5","1.000","0","0","5","00:13:00.000","00:06:30.000","00:09:07.800","00:37:37.800","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8569904",,"The Breakfast Dash","1561 St Nicholas Ave  ","New York","NY","10040","2","0",,"0",,"0",,"66.91","0.00","0.00","0.00","66.91","1","0.500","2","1.000","0","0","2","00:01:00.000","00:00:00.000","00:08:00.000","00:21:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","5314872","Golden Restaurant and Bakery-1849 N Scottsdale Rd","The Crimson Gyro","1849 N Scottsdale Rd  ","Scottsdale","AZ","85288","2","0",,"1","0.500","1","0.500","32.47","0.00","-16.28","-16.28","16.19","1","0.500","2","1.000","0","0","2",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10379304","1st Ave","Louie's Cheesesteaks","1219 1st Ave.  ","New York","NY","10065","1","0",,"0",,"0",,"39.14","0.00","0.00","0.00","39.14","1","1.000","0",,"0","0","1","00:10:00.000","00:00:00.000","00:08:00.000","00:26:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10379328","South Bay","Charlie's Chicken Wings","1156 S Bay Rd  ","Dover","DE","19901","4","0",,"2","0.500","1","0.250","100.49","0.00","-46.55","-35.36","53.94","3","0.750","4","1.000","0","0","4","00:19:30.000","00:19:30.000","00:10:30.000","00:55:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8566128",,"TacoTaste Mexican","4352 E Speedway Blvd  ","Tucson","AZ","85712","2","0",,"0",,"0",,"35.42","0.00","0.00","0.00","35.42","1","0.500","2","1.000","0","0","2","00:02:00.000","00:00:30.000","00:09:00.000","00:33:30.000","0","0","0","0","0","0","0"
