"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Chinese Veggie Faves","Tofu & Broccoli","1","19.99","1","1","19.99","1","0","0.00","0"
"Chef Kelly's Pancakes","Original Buttermilk Pancakes","2","21.67","1","0","0.00","0","0","0.00","0"
"Mighty Sandwiches","Chicken Cutlet Sandwich","1","11.38","1","1","11.38","1","0","0.00","0"
"Mains","The Bacon, Egg, and Cheese Bagel","1","11.99","1","1","11.99","1","0","0.00","0"
"The Pasta Bowl","Spaghetti with Chicken Parm","2","36.58","2","2","36.58","2","0","0.00","0"
"The Omelettes","Build Your Own Omelette","2","32.96","2","1","16.48","1","0","0.00","0"
"The Pasta Bowl","Stuffed Shells","1","17.59","1","0","0.00","0","0","0.00","0"
"Best Breakfast Burritos ","House Burrito","1","15.49","1","1","15.49","1","0","0.00","0"
"Hot & Fresh Pizzas","Build Your Own Pizza","1","27.25","1","1","27.25","1","0","0.00","0"
"Simple Omelette Spot","Mushroom, Onions and Swiss Cheese Omelette","2","24.16","2","1","12.08","1","0","0.00","0"
"Breakfast Sandwiches","Breakfast Burrito with Chorizo","1","12.08","1","1","12.08","1","0","0.00","0"
"Wraps","Chicken Turkey Bacon Ranch Wrap","1","22.48","1","1","22.48","1","0","0.00","0"
"Saucy Stir-Fries","Schezwan Shrimp Bites","1","29.67","1","1","29.67","1","0","0.00","0"
"Quesadilla Shop","Cheese Quesadilla","1","23.97","1","0","0.00","0","0","0.00","0"
"Beverages","Diet Coke","2","5.98","2","0","0.00","0","1","2.99","1"
"Hand-Crafted Pizzas","Hawaiian Pizza","1","16.79","1","0","0.00","0","1","16.79","1"
"Burgers","Cheeseburger","1","8.49","1","0","0.00","0","0","0.00","0"
"Best Breakfast Burritos ","Meat Lover Burrito","1","15.49","1","1","15.49","1","0","0.00","0"
"Desserts","Red Velvet Cake","1","7.99","1","1","7.99","1","0","0.00","0"
"Mediterranean Sandwich Bar","Harissa Chicken Wrap","1","10.59","1","0","0.00","0","1","10.59","1"
"Chef Specials","Chicken Marsala","1","29.37","1","0","0.00","0","0","0.00","0"
"The Cheesesteaks","Philly Cheese Sandwich with Mushrooms","2","25.38","2","1","12.69","1","0","0.00","0"
"Sides","Side Caesar Salad","1","9.99","1","1","9.99","1","0","0.00","0"
"Traditional Curries","Chicken Vindaloo","1","15.99","1","1","15.99","1","0","0.00","0"
"Burger Bar","Cheeseburger Deluxe","1","13.99","1","0","0.00","0","1","13.99","1"
"Pressed Paninis","Classic Reuben Panini","1","12.59","1","1","12.59","1","0","0.00","0"
"Breakfast Burritos","Red Sauce Chicken Breakfast Burrito","1","22.76","1","1","22.76","1","0","0.00","0"
"Breakfast Handhelds","Breakfast Burrito","1","14.69","1","1","14.69","1","0","0.00","0"
"Breakfast Sides","Hash brown Patty","1","1.79","1","0","0.00","0","0","0.00","0"
"Vegan Treats","Vegan White Cream Whoopie Pie","1","8.49","1","1","8.49","1","0","0.00","0"
"Elegant Breakfast Pancakes & French Toasts","Pancakes with Sausage and
Eggs","1","10.39","1","1","10.39","1","0","0.00","0"
"Jose's Burritos Bar","Grilled Chicken Burrito","2","31.52","1","2","31.52","1","0","0.00","0"
"Sides","Pepper Jack Macaroni Bites","1","10.19","1","1","10.19","1","0","0.00","0"
"Sunrise Omelettes","Western Omelette","1","18.19","1","0","0.00","0","1","18.19","1"
"Small Bites","Potato Salad","2","9.18","2","0","0.00","0","2","9.18","2"
"Between the Bun","Chopped Cheese","1","17.18","1","0","0.00","0","0","0.00","0"
"The Little Chicken","Chicken Tenders","1","24.46","1","1","24.46","1","0","0.00","0"
"Beverages","Fresh Squeezed Orange Juice","5","24.95","5","0","0.00","0","2","9.98","2"
"Drinks","Iced Coffee","2","11.66","2","1","7.47","1","1","4.19","1"
"Chef Stella's Pancakes","Strawberry Buttermilk Pancakes","9","92.61","8","5","51.45","5","2","20.58","1"
"Artisan Sandwich Combos","Rubens Sandwich with Chips","1","14.89","1","0","0.00","0","0","0.00","0"
"Vegetarian Specialties","Vegetable Fried Rice","1","18.29","1","0","0.00","0","0","0.00","0"
"Sweet Treats","Strawberry Cheesecake","1","9.09","1","0","0.00","0","1","9.09","1"
"Small Bites","Plain Bagel","1","4.29","1","1","4.29","1","0","0.00","0"
"Sweet Breakfast Shop","Pancakes with Eggs & Meat","2","32.97","2","1","14.99","1","0","0.00","0"
"Coffee and Tea","Matcha Latte","1","5.99","1","1","5.99","1","0","0.00","0"
"Breakfast Handhelds","Eggs & Sausage Roll","2","22.18","2","1","11.09","1","0","0.00","0"
"Hot Subs","Monte Cristo Sub","1","15.18","1","0","0.00","0","0","0.00","0"
"Let's Get BBQ'n","Full Rack of Famous Ribs","2","79.98","2","1","39.99","1","0","0.00","0"
"Fresh Smoothies","Very Berry Smoothie","2","18.47","1","2","18.47","1","0","0.00","0"
"The Cheesesteaks","Buffalo Chicken Cheesesteak","1","16.98","1","1","16.98","1","0","0.00","0"
"Desserts","Giant Cookies","1","4.49","1","0","0.00","0","0","0.00","0"
"Drinks","Tropicana Juice (10 oz)","4","9.96","3","0","0.00","0","0","0.00","0"
"Crispy Chicken","Chicken Tenders","3","39.00","3","0","0.00","0","1","13.00","1"
"Drinks","Fresh Fruit Juice","1","9.79","1","1","9.79","1","0","0.00","0"
"Deli Sandwich Favorites","Grilled Chicken Sandwich","2","15.98","2","1","7.99","1","0","0.00","0"
"Cheesy Quesadillas","Shredded Chicken Quesadilla","1","16.79","1","0","0.00","0","0","0.00","0"
"Breakfast Specials","Big Breakfast Tozt","2","32.56","2","0","0.00","0","1","16.28","1"
"The Sides","Side of Bacon","2","2.98","2","1","1.49","1","0","0.00","0"
"Snobby Chicken Wings","Spicy Buffalo Bone-In Chicken Wings","1","9.09","1","1","9.09","1","0","0.00","0"
"Bowl Bar","The Kong Pao Shrimp Bowl","2","28.18","2","1","14.09","1","0","0.00","0"
"Juicy Fruit","Hawaiian Juice","1","12.08","1","1","12.08","1","0","0.00","0"
"The Bakery","Pastries","2","9.18","2","1","4.59","1","0","0.00","0"
"Nonna Pasta Bowl","Meat Lover's Penne","1","18.19","1","0","0.00","0","1","18.19","1"
"The Pasta Bowl","Grilled Chicken and Roasted Red Pepper Ziti","1","19.59","1","1","19.59","1","0","0.00","0"
