"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-09-22","2025-10-05","3309272","Washington Blvd","Super Burrito Bar","109 Washington Blvd  ","Marina del Rey","CA","90292","1","17.19","0.00","0.00","1.80","0.00","18.99","-2.58","-1.72","0.00","-0.88","0.00","0.00","13.81"
"2025-09-22","2025-10-05","6890744","Wholesome Farms Market - 1306 Atlantic Ave","The Sandwich Vibe","1306 Atlantic Ave  ","Brooklyn","NY","11216","11","229.69","0.00","0.00","17.10","0.00","246.79","-34.77","-23.21","0.00","-9.77","0.00","-37.10","141.94"
"2025-09-22","2025-10-05","2730695",,"Charlie's Chicken Wings","1760 3rd Ave  ","New York","NY","10029","4","71.32","0.00","0.00","5.53","0.00","76.85","-10.71","-7.14","0.00","-3.27","0.00","-9.00","46.73"
"2025-09-22","2025-10-05","3309771","Hillside Ave","Jr's Philly Cheesesteaks","164-01 Hillside Avenue  ","Jamaica","NY","11432","5","83.50","0.00","0.00","2.68","0.00","86.18","-12.54","-8.36","0.00","-3.63","0.00","-16.40","45.25"
"2025-09-22","2025-10-05","3300844","N Citrus Ave","Day N Night Pancakes","900 N Citrus Ave  ","Covina","CA","91722","4","166.44","0.00","0.00","16.53","0.00","182.97","-26.44","-17.63","0.00","-6.84","0.00","-9.00","123.06"
"2025-09-22","2025-10-05","9822568","57 sip ave","The Kabob Snob","57 Sip Ave  ","Jersey City","NJ","07306","1","15.08","0.00","0.00","0.67","0.00","15.75","-2.26","-1.51","0.00","-0.63","0.00","-5.00","6.35"
"2025-09-22","2025-10-05","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","44","864.46","0.00","0.00","65.76","0.00","930.22","-129.75","-86.56","0.00","-37.76","0.00","-123.98","552.17"
"2025-09-22","2025-10-05","6154984","723 8th St SE","Fiona's Breakfast Burritos","723 8th St SE  ","Washington","DC","20003","2","36.15","0.00","0.00","1.57","0.00","37.72","-5.42","-3.62","0.00","-1.45","-1.57","-10.00","15.66"
"2025-09-22","2025-10-05","8567384",,"The Dessert Shack","4352 E Speedway Blvd  ","Tucson","AZ","85712","2","33.93","0.00","0.00","2.08","0.00","36.01","-5.09","-3.40","0.00","-1.40","0.00","-10.00","16.12"
"2025-09-22","2025-10-05","2063008",,"Halal Indian Bazaar","1447 NJ-18  ","Old Bridge","NJ","08857","1","9.09","0.00","0.00","0.27","0.00","9.36","-1.36","-0.91","0.00","-0.43","0.00","-5.00","1.66"
