"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","372431154773462","2025-09-24","07:26:12 PM","America/New_York","10929200","Amsterdam Ave","Sam's Scrumptious Subs","1213 Amsterdam Ave  ","New York","NY","10027","Order Adjustment","Grubhub Delivery","GH+","-15.38","-1.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-16.61","0.00","0.00","0.00","0.00","0.00","0.00","1.51","0.00","-15.10","Chipotle Chicken Kick Sub appeared  undercooked","CQMAAAAAAKbEMLEfWcCZhBHwmcH_uXXZ178AAAAB"
"Marketplace","782031156085008","2025-09-24","11:24:00 AM","America/New_York","5028264","600 Washington Ave","Crunchy Banh Mi","600 Washington Ave  ","Philadelphia","PA","19147","Prepaid Order","Grubhub Delivery","non GH+","19.38","1.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.69","-2.91","-1.94","0.00","-0.84","-1.31","0.00","-3.00","0.00","10.69",,"BwEAAAAAAEy5qM3gPCCZVRHwvCEb0HwdsC8"
"Marketplace","337931260933417","2025-10-05","01:51:00 PM","America/New_York","4514544","278 N. Brewster Rd","Marco's Pizza Party","278 N Brewster Rd  ","Brewster","NY","10509","Prepaid Order","Grubhub Delivery","GH+","117.52","9.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","126.78","-17.63","-11.75","0.00","-3.95","0.00","0.00","-7.00","0.00","86.45",,"BwEAAAAAAETi8GurXcCiDhHwncFBSqaNLYk"
"Marketplace","343531246913337","2025-10-03","02:59:00 PM","America/New_York","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Prepaid Order","Grubhub Delivery","non GH+","16.78","1.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.27","-2.52","-1.68","0.00","-0.86","0.00","0.00","0.00","0.00","13.21",,"BwEAAAAAAFp9ACLxM-CghhHws-G7FiK1vx4"
"Marketplace","612031232073728","2025-10-02","07:41:00 AM","America/New_York","10078568","Gold St","Sizzlin' Omelette Cafe","257 Gold St  ","Brooklyn","NY","11201","Prepaid Order","Grubhub Delivery","non GH+","32.18","2.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.59","-4.83","-3.22","0.00","-1.20","0.00","0.00","-5.00","0.00","20.34",,"BwEAAAAAAJnJaF2kCmCffxHwimHXkk0iuCo"
"Marketplace","325031236744470","2025-10-02","04:37:00 PM","America/New_York","4836096","197 Havemeyer St.","Twin Peaks Burger","197 Havemeyer St  ","Brooklyn","NY","11211","Prepaid Order","Grubhub Delivery","non GH+","25.65","2.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.66","-3.85","-2.57","0.00","-1.05","0.00","0.00","-3.00","0.00","17.19",,"BwEAAAAAAEnLAJurD0CfyBHwj0HZNmOVQSI"
"Marketplace","748031245344410","2025-10-03","12:32:00 PM","America/Los_Angeles","3311137","Crenshaw Blvd","El Azul Tacos","6732 Crenshaw Blvd  ","Los Angeles","CA","90043","Prepaid Order","Grubhub Delivery","GH+","21.05","1.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.66","-3.16","-2.11","0.00","-0.84","0.00","0.00","-5.00","0.00","11.55",,"BwEAAAAAADKGIRH5TUCgiRHwjUFX4wCQB30"
"Marketplace","884431235547670","2025-10-02","03:03:00 AM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","27.32","2.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.75","-4.10","-2.73","0.00","-1.21","0.00","0.00","0.00","0.00","21.71",,"BwEAAAAAACaxYi10yyCfWRHwiyF51bugLPs"
"Marketplace","388831263318209","2025-10-05","03:21:00 AM","America/Phoenix","5314872","Golden Restaurant and Bakery-1849 N Scottsdale Rd","The Crimson Gyro","1849 N Scottsdale Rd  ","Scottsdale","AZ","85288","Prepaid Order","Grubhub Delivery","GH+","16.19","0.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.15","-2.43","-1.62","0.00","-0.67","0.00","0.00","-5.00","0.00","7.43",,"BwEAAAAAAFEZOK_gtwChzhHwtwFDt6deVsg"
"Marketplace","867731266117856","2025-10-05","09:38:00 AM","America/New_York","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","Prepaid Order","Grubhub Delivery","GH+","34.66","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36.56","-5.20","-3.47","0.00","-1.32","0.00","0.00","-3.00","0.00","23.57",,"BwEAAAAAAEyr0JPZ5ZCh7BHwpZEFXRtuOmw"
