"payout_date","payout_type","distribution_id","short_distribution_id","deposit_id","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","prepaid_order_count","cash_order_count","cancellation_order_count","order_adjustment_count","on_demand_delivery_fees_count","misc_payment_count","subtotal_sales","cash_order_subtotal_sales_paid_at_store","subtotal_sales_adjustments","subtotal_voided_from_cancellations","subtotal_sales_payout","sales_tax","cash_order_sales_tax_paid_at_store","sales_tax_adjustments","sales_tax_voided_from_cancellations","withheld_sales_tax","disbursed_sales_tax","self_delivery_charge","merchant_service_fee","merchant_flexible_fees","tip","commission","delivery_commission","on_demand_delivery_fee","gh_plus_commission","processing_fee","merchant_funded_promotion","merchant_funded_loyalty","account_adjustments","payout_fee","payout_amount"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAUWi_mXS5H0JC_BYsaSYVD",,"AQAAAAAAMoICAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","3310082","E 8th St","Grandpa's Omelette Crack","44 E 8th St  ","New York","NY","10003","1","0","1","0","0","0","32.22","0.00","0.00","-17.16","15.06","1.97","0.00","0.00","-1.08","0.00","0.89","0.00","0.00","0.00","0.00","-2.26","-1.51","0.00","0.00","-0.63","-5.00","0.00","0.00","0.00","6.55"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAq6Yq1nuJHkL9wn8cuoHDz",,"AQAAAAAAXerIAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","6154952","21 Smith Pl","Crave of Cake","21 Smith Pl  ","Columbus","OH","43201","2","0","0","1","0","0","24.07","0.00","-12.78","0.00","11.29","1.44","0.00","-0.78","0.00","-0.66","0.00","0.00","0.00","0.00","0.00","-3.61","-2.41","0.00","0.00","-1.19","-3.00","0.00","0.00","0.00","1.08"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIAyBEcdP8JJK6TsQW-7T5nd","25092624W-7T5nd","AQAAAAAAKLYCAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","2668034",,"Ali's Halal Pizza","5155 3rd St  #1A","San Francisco","CA","94124","1","0","0","0","0","0","35.63","0.00","0.00","0.00","35.63","2.64","0.00","0.00","0.00","0.00","2.64","0.00","0.00","0.00","0.00","-5.34","-3.56","0.00","0.00","-1.31","-5.00","0.00","0.00","0.00","23.06"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIBbAhmDgQlDT4BofWH16vhi","25092624WH16vhi","AQAAAAAAnmZgAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","10380896","1st Ave","The Minister Wraps","1219 1st Ave.  ","New York","NY","10065","1","0","0","0","0","0","32.16","0.00","0.00","0.00","32.16","2.41","0.00","0.00","0.00","0.00","2.41","0.00","0.00","0.00","0.00","-4.82","-3.22","0.00","0.00","-1.20","-5.00","0.00","0.00","0.00","20.33"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDnLABCYJZA7JWIzhGQ6oLW","25092624hGQ6oLW","AQAAAAAAlgnwAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","9832944","1708 Livernois Rd","The Pasta Brothers","1708 Livernois Rd  ","Troy","MI","48083","2","0","1","0","0","0","124.50","0.00","0.00","-23.09","101.41","6.94","0.00","0.00","-1.21","-5.73","0.00","0.00","0.00","0.00","0.00","-15.21","-10.15","0.00","0.00","-3.68","-6.00","0.00","0.00","0.00","66.37"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAbchBHbXBBq541ARb9DvpE",,"AQAAAAAALTvwAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2964464",,"Day N Night Pancakes","240 Sullivan St  ","New York","NY","10012","1","0","0","0","0","0","22.36","0.00","0.00","0.00","22.36","1.54","0.00","0.00","0.00","0.00","1.54","0.00","0.00","0.00","0.00","-1.12","-3.35","0.00","0.00","-0.88","-5.00","0.00","0.00","0.00","13.55"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIA7Y52q79BJ74XV9gOf8H05",,"AQAAAAAAMoM7AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","3310395","9th Ave","Mufasa's Pancakes & French Toast","755 9th Ave  ","New York","NY","10019","3","0","0","0","0","0","69.50","0.00","0.00","0.00","69.50","5.55","0.00","0.00","0.00","0.00","5.55","0.00","0.00","0.00","0.00","-10.42","-6.95","0.00","0.00","-2.97","-7.00","0.00","0.00","0.00","47.71"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDEws2y0OtKeIDQmDqKFyP1",,"AQAAAAAAWUsYAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","5851928","1st Avenue","Sarah's Breakfast Bar","1741 1st Ave.  ","New York","NY","10128","1","0","0","0","0","0","15.47","0.00","0.00","0.00","15.47","1.37","0.00","0.00","0.00","0.00","1.37","0.00","0.00","0.00","0.00","-2.32","-1.55","0.00","0.00","-0.81","0.00","0.00","0.00","0.00","12.16"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIC2dv-dpVdKranqgXNyjP42",,"AQAAAAAAKqrEAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2796228",,"Healthy Salad Bar ","228 George St  ","New Brunswick","NJ","08901","1","0","0","0","0","0","19.99","0.00","0.00","0.00","19.99","0.99","0.00","0.00","0.00","0.00","0.99","0.00","0.00","0.00","0.00","-3.00","-2.00","0.00","0.00","-0.79","-5.00","0.00","0.00","0.00","10.19"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIA3UdcCl5VKQKNG7-DplTTQ",,"AQAAAAAAK3PJAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2847689",,"Sam's Sandwich Spot (Bedford Ave)","265 Bedford Ave  ","Brooklyn","NY","11211","2","0","0","0","0","0","55.35","0.00","0.00","0.00","55.35","4.21","0.00","0.00","0.00","0.00","4.21","0.00","0.00","0.00","0.00","-8.31","-5.54","0.00","0.00","-2.17","-8.00","0.00","0.00","0.00","35.54"
