"payout_date","payout_type","store_name","street_address","grubhub_store_id","store_number","distribution_id","short_distribution_id","deposit_id","order_number","transaction_date","transaction_time_local","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_id"
"2025-10-03","Month End","The Gyro Bar","319 Rogers Ave  ","4839144","319 Rogers Ave","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAe_7hhmdNMopEhvKOhKMxN",,"AQAAAAAASdboAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","355831197549863","2025-09-28","11:07:00 AM","Prepaid Order","Grubhub Delivery","GH+","24.77","1.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.70","-2.72","-2.48","0.00","0.00","0.00","0.00","-3.00","0.00","18.50","BwEAAAAAAEnW6D8ePACceBHwvAHFHd9JYUg"
"2025-10-03","Month End","The Chicken Affair","783 Hillside Ave.  ","10930920","Hillside Ave","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIBG5nlAKJFJ_7LS2b52ZUL9",,"AQAAAAAApsroAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","601231227741304","2025-09-30","10:42:00 PM","Prepaid Order","Grubhub Delivery","non GH+","20.97","1.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.37","-3.15","-2.10","0.00","-0.83","0.00","0.00","-5.00","0.00","11.29","BwEAAAAAAKbK6HKfQsCeaRHwgsE31OTXqEw"
"2025-10-03","Month End","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQID1CmyZx8BCN4EdrlyLND0a",,"AQAAAAAAHZQkAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","773431183687276","2025-09-27","08:23:00 AM","Prepaid Order","Grubhub Delivery","non GH+","19.68","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.98","-2.95","-1.97","0.00","-0.79","0.00","0.00","-5.00","0.00","10.27","BwEAAAAAAB2UJJHLxDCbmBHwhDHBPvKrtkc"
"2025-10-03","Month End","The Stir Fry Bar","5874 Forbes Ave  ","5321760","Yue Bai Wei - 5874 Forbes Ave","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAeI74znXBN0IkNtiwap5ic",,"AQAAAAAAUTQgAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","792731200457907","2025-09-28","08:50:00 PM","Prepaid Order","Grubhub Delivery","GH+","23.28","1.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.70","-3.49","-2.33","0.00","-0.96","-1.42","0.00","-3.00","0.00","13.50","BwEAAAAAAFE0IHm8i7CcxxHwi7GRsKKl4o4"
"2025-10-03","Month End","OG Chicken and Waffles","820 Pennsylvania Ave  ","2563085",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDeF00emjdN67995DtFa-Uv",,"AQAAAAAAJxwNAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","172931160209144","2025-09-25","07:48:00 PM","Prepaid Order","Grubhub Delivery","non GH+","33.96","2.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","35.99","-5.09","-3.40","0.00","-1.25","-2.03","0.00","-5.00","0.00","19.22","BwEAAAAAACccDTptzoCaYxHwjoFL07troGY"
"2025-10-03","Month End","The Chicken Affair","783 Hillside Ave.  ","10930920","Hillside Ave","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIBG5nlAKJFJ_7LS2b52ZUL9",,"AQAAAAAApsroAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","601231227741304","2025-09-30","10:46:45 PM","Order Adjustment","Grubhub Delivery","non GH+","-20.97","-1.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-22.37","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00","-17.37","CQMAAAAAAKbK6HKfQsCeaRHwgsE31OTXqEwAAAAB"
"2025-09-26","ACH","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYID1CmyZx8BCN4EdrlyLND0a","25092624lyLND0a","AQAAAAAAHZQkAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","128431121166950","2025-09-21","06:06:00 PM","Prepaid Order","Grubhub Delivery","GH+","16.37","1.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.38","-2.46","-1.64","0.00","-0.68","0.00","0.00","-5.00","0.00","7.60","BwEAAAAAAB2UJGdH59CXMhHwp9F7bGCzdTY"
"2025-09-26","ACH","Pita Sandwiches Bite","228 George St  ","3310779","George St","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDf-kPv-gtLY7XvqnTukRm5","25092624nTukRm5","AQAAAAAAMoS7AAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","252631106806841","2025-09-18","11:55:00 PM","Prepaid Order","Grubhub Delivery","GH+","18.58","1.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.61","-2.79","-1.86","0.00","-0.81","0.00","0.00","-3.00","0.00","11.15","BwEAAAAAADKEuyPa6tCVBRHwqtFtCRo2WI8"
"2025-09-26","ACH","The Acai Dream","1424 Lexington Ave  ","3312535","Lexington Ave","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIBuVX7V2mFP54auuU_ORCip","25092624U_ORCip","AQAAAAAAMouXAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","837931103570627","2025-09-19","12:52:00 PM","Prepaid Order","Grubhub Delivery","non GH+","21.99","1.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.68","-3.30","-2.20","0.00","-0.93","0.00","0.00","-3.00","0.00","14.25","BwEAAAAAADKLl7xp3DCVchHwnDGj6_MLgnc"
"2025-09-26","ACH","The Salad God (4th Ave)","59 4th Ave  ","2710285",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDHq8LTXaFC9LHRr8ZpMllS","250926248ZpMllS","AQAAAAAAKVsNAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","598431084415439","2025-09-17","12:00:00 PM","Prepaid Order","Grubhub Delivery","non GH+","21.18","1.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.06","-3.18","-2.12","0.00","-1.00","0.00","0.00","0.00","0.00","16.76","BwEAAAAAAClbDRm9hhST2hHwhhWD6u2dbkU"
