"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","709731208798502","2025-09-28","10:43:59 PM","Sunday","10 PM","America/New_York","2847690",,"Greek Gyro Spot (Bedford Ave)","265 Bedford Ave  ","New York","NY","11211","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","26.07","0.00","26.07","0.00","0.00","2.32","0.00","28.39","-3.91","-2.61","0.00","-1.17","0.00","0.00","20.70","12","31","12","26","28","13","Late","2","Get the order wrong, burnt, and missing items. I've ordered in house before and was much better - maybe they just don't care about grubhub customers? All in at almost $40 - last time for sure and will actively steer my neighbors away from them.
"
"Marketplace","922131227566306","2025-10-01","04:43:54 PM","Wednesday","4 PM","America/New_York","3310763","Queens Plaza S","Firenze Pasta Ristorante","25-02 Queens Plaza S  ","Queens","NY","11101","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","21.18","0.00","21.18","0.00","0.00","0.85","0.00","22.03","-3.18","-2.12","0.00","-0.97","0.00","0.00","15.76","20","17","8","10","18","0","On-time",,
"Marketplace","328131267081109","2025-10-04","09:03:48 PM","Saturday","9 PM","America/New_York","10499904","1st Avenue","Lola's Smoothie Mix","937 1st Ave.  ","New York","NY","10022","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","21.36","0.00","21.36","0.00","0.00","1.90","0.00","23.26","-3.20","-2.14","0.00","-1.01","0.00","0.00","16.91","15","10","3","10","21","0","On-time",,
"Marketplace","549431189037934","2025-09-27","10:42:14 AM","Saturday","10 AM","America/New_York","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","29.06","0.00","29.06","0.00","0.00","1.56","0.00","30.62","-4.36","-2.91","0.00","-1.14","0.00","-3.00","19.21","20","32","5","6","17","0","On-time",,
"Marketplace","009031149070939","2025-09-23","09:42:41 AM","Tuesday","9 AM","America/New_York","6895704","Not Just Pizza - 2240 S 11th St","Pardon My Panini","2240 S 11th St  ","Philadelphia","PA","19148","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","33.78","0.00","33.78","0.00","0.00","2.30","0.00","36.08","-5.07","-3.38","0.00","-1.25","-2.30","-5.00","19.08","20",,"8","11","27","0","On-time",,
"Marketplace","786131153998513","2025-09-23","06:30:56 PM","Tuesday","6 PM","America/Los_Angeles","9794768","18 S Abbott Ave","Dum Biryani Snob","18 S Abbott Ave  ","Milpitas","CA","95035","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","15.33","0.00","15.33","0.00","0.00","0.97","0.00","16.30","-2.30","-1.53","0.00","-0.64","0.00","-5.00","6.83","15","16","17","19","27","2","On-time",,
"Marketplace","487131165950189","2025-09-25","08:30:08 AM","Thursday","8 AM","America/New_York","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","15.37","0.00","15.37","0.00","0.00","1.36","0.00","16.73","-2.31","-1.54","0.00","-0.81","0.00","0.00","12.07","11","1","4","6","10","0","Early",,
"Marketplace","943231172884488","2025-09-26","08:41:51 AM","Friday","8 AM","America/New_York","2444528",,"Breakfast Burrito Snob","25-02 Queens Plaza S ","Long Island City","NY","11101","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","31.16","0.00","31.16","0.00","0.00","1.05","0.00","32.21","-4.67","-3.12","0.00","-1.13","0.00","-5.00","18.29","16","141","13","14","20","0","On-time",,
"Marketplace","690831166947643","2025-09-25","12:41:43 PM","Thursday","12 PM","America/New_York","7102576","iKraveit Foods","Sarah's Salad Bar","34-02 30th St  ","Astoria","NY","11106","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","57.40","0.00","57.40","0.00","0.00","2.18","0.00","59.58","-8.61","-5.74","0.00","-2.03","0.00","-3.00","40.20","20","182","11","15","24","0","On-time",,
"Marketplace","709731198792304","2025-09-28","06:23:07 PM","Sunday","6 PM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","11.19","0.00","11.19","0.00","0.00","0.99","0.00","12.18","-1.68","-1.12","0.00","-0.67","0.00","0.00","8.71","15","8","7","17","22","2","Early",,
"Marketplace","792731190453328","2025-09-28","01:26:07 PM","Sunday","1 PM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","15.58","0.00","15.58","0.00","0.00","0.67","0.00","16.25","-2.34","-1.56","0.00","-0.55","0.00","-8.00","3.80","10","507","10","20","29","10","Late",,
"Marketplace","343531246913337","2025-10-03","02:26:04 PM","Friday","2 PM","America/New_York","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","16.78","0.00","16.78","0.00","0.00","1.49","0.00","18.27","-2.52","-1.68","0.00","-0.86","0.00","0.00","13.21","20","9","18","21","39","1","Early",,
"Marketplace","411731237051619","2025-10-01","06:10:23 PM","Wednesday","6 PM","America/Los_Angeles","6893832","Aroma Pizza & Pasta - 20491 Alton Pkwy","Firenze Pasta Ristorante","20491 Alton Pkwy  ","Lake Forest","CA","92610","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","21.68","0.00","21.68","0.00","0.00","1.12","0.00","22.80","-3.25","-2.17","0.00","-0.90","0.00","-3.00","13.48","20","14","12","17","26","0","Early",,
