Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Customer delivery fee,Customer delivery fee tax,Bag fee,Bottle deposit fee,Bottle deposit fee tax,Staff tip,Courier tip,Commission,Commission tax,Payment processing fee,Alcohol flat fee,Tablet fee,Printer fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Customer fee tax remitted by DoorDash to tax authorities,Tax remitted by DoorDash on fees DoorDash charges to merchant,Payout ID,Payout status
948635,Mighty Grilled Cheese,27834141,Mighty Grilled Cheese (6600 W Sylvania Ave),27834141,2025-10-02,USD,Marketplace,182.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.59,0.00,0.00,0.00,0.00,0.00,-4.95,-20.91,-2.99,0.00,2.99,0.00,0.00,0.00,108.47,162.01,-0.53,0.00,0.00,518286446,PAID
948635,Mighty Grilled Cheese,27834141,Mighty Grilled Cheese (6600 W Sylvania Ave),27834141,2025-09-25,USD,Marketplace,24.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.20,24.57,0.00,0.00,0.00,516912693,PAID
724520,Amanda's Breakfast Lounge,28605460,Amanda's Breakfast Lounge (277 Gold Street),28605460,2025-10-02,USD,Marketplace,54.51,4.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.83,0.00,0.00,0.00,0.00,0.00,-10.89,-8.42,0.00,0.00,8.91,0.00,-2.98,0.00,31.39,46.09,0.00,0.00,0.00,518376250,PAID
724520,Amanda's Breakfast Lounge,28605460,Amanda's Breakfast Lounge (277 Gold Street),28605460,2025-09-25,USD,Marketplace,90.18,6.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.69,0.00,0.00,0.00,0.00,0.00,-17.33,-14.53,0.00,0.00,14.36,0.00,0.00,4.34,61.05,75.65,0.00,0.00,0.00,516895665,PAID
884543,Chicken Sandwich Loft,28605587,Chicken Sandwich Loft (1595 Seminole Blvd),28605587,2025-10-02,USD,Marketplace,55.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.17,0.00,0.00,0.00,0.00,0.00,-1.98,-8.66,0.00,0.00,0.00,0.00,0.00,0.00,31.11,47.26,-3.30,0.00,0.00,518560297,PAID
884543,Chicken Sandwich Loft,28605587,Chicken Sandwich Loft (1595 Seminole Blvd),28605587,2025-09-25,USD,Marketplace,22.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.37,0.00,0.00,0.00,0.00,0.00,-0.99,-4.47,0.00,0.00,0.00,0.00,0.00,0.00,11.54,17.90,-1.25,0.00,0.00,516656253,PAID
899169,High Life Breakfast Sandwiches,28605981,High Life Breakfast Sandwiches (3319 W Pico Blvd),28605981,2025-10-02,USD,Marketplace,74.09,5.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.79,0.00,0.00,0.00,0.00,0.00,-5.97,-14.81,0.00,0.00,0.00,0.00,0.00,0.00,41.30,59.28,0.00,0.00,0.00,518758871,PAID
899169,High Life Breakfast Sandwiches,28605981,High Life Breakfast Sandwiches (3319 W Pico Blvd),28605981,2025-09-25,USD,Marketplace,41.97,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.86,0.00,0.00,0.00,0.00,0.00,-5.97,-5.78,0.00,0.00,0.00,0.00,0.00,0.00,22.88,36.19,0.00,0.00,0.00,516526136,PAID
292230,Hella Good Chicken Wings,28606154,Hella Good Chicken Wings (43 W Flagler St),28606154,2025-10-02,USD,Marketplace,36.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.21,0.00,0.00,0.00,0.00,0.00,-0.99,-2.80,0.00,0.00,0.00,0.00,0.00,0.00,22.85,34.05,-2.39,0.00,0.00,518678393,PAID
11217028,Prima Panini Bar,28606994,Prima Panini Bar (3319 W Pico Blvd),28606994,2025-10-02,USD,Marketplace,155.97,12.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.65,0.00,0.00,0.00,0.00,0.00,-6.96,-27.16,0.00,0.00,0.00,0.00,0.00,5.36,100.80,128.81,0.00,0.00,0.00,518358137,PAID
11217028,Prima Panini Bar,28606994,Prima Panini Bar (3319 W Pico Blvd),28606994,2025-09-25,USD,Marketplace,148.24,14.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.47,0.00,0.00,0.00,0.00,0.00,-9.67,0.00,0.00,0.00,0.00,0.00,-5.36,6.08,108.90,148.24,0.00,0.00,0.00,516828494,PAID
216474,Public Burger Bar,28607075,Public Burger Bar (3319 W Pico Blvd),28607075,2025-10-02,USD,Marketplace,18.88,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.06,18.88,0.00,0.00,0.00,518310412,PAID
216474,Public Burger Bar,28607075,Public Burger Bar (3319 W Pico Blvd),28607075,2025-09-25,USD,Marketplace,21.68,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.20,0.00,0.00,0.00,0.00,0.00,-0.99,-4.34,0.00,0.00,0.00,0.00,-9.04,9.20,13.00,17.34,0.00,0.00,0.00,516823204,PAID
566645,The Pasta Story,28607208,The Pasta Story (43 W Flagler St),28607208,2025-10-02,USD,Marketplace,173.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-45.06,0.00,0.00,0.00,0.00,0.00,-17.15,-23.39,-2.10,0.00,2.10,0.00,0.00,10.77,98.72,148.06,-10.36,0.00,0.00,518649419,PAID
566645,The Pasta Story,28607208,The Pasta Story (43 W Flagler St),28607208,2025-09-25,USD,Marketplace,63.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.43,0.00,0.00,0.00,0.00,0.00,-1.98,-8.88,0.00,0.00,0.00,0.00,-10.77,0.00,25.59,54.77,-3.82,0.00,0.00,516551015,PAID
13952895,Breakfast Burrito Joint,28607943,Breakfast Burrito Joint (128 East 4th Street),28607943,2025-10-02,USD,Marketplace,40.76,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.80,0.00,0.00,0.00,0.00,0.00,-6.25,-8.08,0.00,0.00,0.00,0.00,0.00,0.00,19.53,32.68,0.00,0.00,0.00,518429225,PAID
13952895,Breakfast Burrito Joint,28607943,Breakfast Burrito Joint (128 East 4th Street),28607943,2025-09-25,USD,Marketplace,94.82,6.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.59,0.00,0.00,0.00,0.00,0.00,-37.24,-16.16,-2.00,0.00,20.69,0.00,0.00,0.00,43.50,78.66,0.00,0.00,0.00,516725632,PAID
374452,Amore Pasta Ristorante,31313153,Amore Pasta Ristorante (9083 Dallas St),31313153,2025-10-02,USD,Marketplace,174.32,13.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-46.09,0.00,0.00,0.00,0.00,0.00,-12.65,-20.65,0.00,0.00,0.00,0.00,-6.53,0.00,101.45,153.67,0.00,0.00,0.00,518635903,PAID
374452,Amore Pasta Ristorante,31313153,Amore Pasta Ristorante (9083 Dallas St),31313153,2025-09-25,USD,Marketplace,314.54,26.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-88.15,0.00,0.00,0.00,0.00,0.00,-31.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.24,314.54,0.00,0.00,0.00,516667285,PAID
380093,Fallen Angel Wings,31313215,Fallen Angel Wings (1368 N Arizona Ave),31313215,2025-10-02,USD,Marketplace,141.33,10.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-39.41,0.00,0.00,0.00,0.00,0.00,-11.58,-9.97,-18.78,0.00,18.78,0.00,-21.10,0.00,69.51,131.36,0.00,0.00,0.00,518627623,PAID
380093,Fallen Angel Wings,31313215,Fallen Angel Wings (1368 N Arizona Ave),31313215,2025-09-25,USD,Marketplace,215.84,15.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-57.83,0.00,0.00,0.00,0.00,0.00,-14.23,-23.14,-38.76,0.00,38.76,0.00,0.00,0.00,135.66,192.70,0.00,0.00,0.00,516659127,PAID
860103,Sicily's Calzone House,31313273,Sicily's Calzone House (888 Maple Ave),31313273,2025-10-02,USD,Marketplace,47.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.26,0.00,0.00,0.00,0.00,0.00,-1.98,-10.00,-4.00,0.00,4.00,0.00,0.00,0.00,24.32,33.56,-2.46,0.00,0.00,518757046,PAID
860103,Sicily's Calzone House,31313273,Sicily's Calzone House (888 Maple Ave),31313273,2025-09-25,USD,Marketplace,97.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.55,0.00,0.00,0.00,0.00,0.00,-0.99,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,63.30,91.84,-6.75,0.00,0.00,516827916,PAID
11913767,BigLeaf Salads,31313343,BigLeaf Salads (18300 Vanowen Street Suite 3),31313343,2025-10-02,USD,Marketplace,83.24,4.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.63,0.00,0.00,0.00,0.00,0.00,-0.99,-4.48,0.00,0.00,0.00,0.00,0.00,0.00,58.86,78.76,0.00,0.00,0.00,518398681,PAID
11913767,BigLeaf Salads,31313343,BigLeaf Salads (18300 Vanowen Street Suite 3),31313343,2025-09-25,USD,Marketplace,70.64,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.70,0.00,0.00,0.00,0.00,0.00,-7.91,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,41.96,65.64,0.00,0.00,0.00,516835113,PAID
