Timestamp local time,Payout date,Business ID,Business name,Store ID,Store name,Merchant store ID,Transaction type,Delivery UUID,DoorDash transaction ID,DoorDash order ID,Merchant delivery ID,POS order ID,Channel,Description,Error charges,Adjustments
2025-10-03 20:40:52.417788,NULL,308705,The Burrito Snob,1097102,"The Burrito Snob (Woodland, CA)",NULL,Adjustment,NULL,14788505618,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,3.48
2025-10-03 14:47:26.643166,NULL,609184,The Pancake Snob,1166202,The Pancake Snob (Virtual Brand)(West Chester Pike),NULL,Error Charge,9be8040e-10cf-3001-9588-a1d7fab19643,14781800053,FAB19643,FAB19643,fa7bdb7a-ad8f-457f-9682-e4ad0a9d5b25,Marketplace,1 Sausage Buttermilk Pancakes food quality,-16.77,0.00
2025-10-02 03:35:36.154572,NULL,609184,The Pancake Snob,1166202,The Pancake Snob (Virtual Brand)(West Chester Pike),NULL,Error Charge,f78ea288-4354-3001-aa94-a00a817562cf,14768425477,817562CF,817562CF,bcfc1f3a-771f-4531-be38-217c59d35a94,Marketplace,1 Side of Four PC Bacon incorrect,-4.00,0.00
2025-09-30 03:07:41.386081,NULL,609184,The Pancake Snob,1166202,The Pancake Snob (Virtual Brand)(West Chester Pike),NULL,Adjustment,0cc7d7eb-a21a-3001-80e1-6df24080e85c,14749672189,4080E85C,4080E85C,3b017d3b-b119-493e-bcbb-a55ff9827a56,Marketplace,NULL,0.00,4.12
2025-09-26 11:39:16.197485,2025-10-02,609184,The Pancake Snob,1166202,The Pancake Snob (Virtual Brand)(West Chester Pike),NULL,Error Charge,0cc7d7eb-a21a-3001-80e1-6df24080e85c,14710033480,4080E85C,4080E85C,3b017d3b-b119-493e-bcbb-a55ff9827a56,Marketplace,1 Original Buttermilk Pancakes missing,-4.12,0.00
2025-09-22 08:25:19.564861,2025-10-02,609184,The Pancake Snob,1166202,The Pancake Snob (Virtual Brand)(West Chester Pike),NULL,Adjustment,c4a81443-a04f-3001-bb91-62dfa985946e,14671749152,A985946E,A985946E,54128d4d-3423-4cb5-bfbd-8aa36e6881b1,Marketplace,NULL,0.00,4.12
2025-10-03 23:41:58.659201,NULL,609184,The Pancake Snob,1180434,"The Pancake Snob (Virtual Brand)(New York, NY)",NULL,Adjustment,NULL,14788516915,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,59.21
2025-10-03 23:41:59.427756,NULL,486741,Addictive Fried Chicken,1183154,Addictive Fried Chicken,NULL,Adjustment,NULL,14788517022,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,5.09
2025-09-24 06:54:28.624281,2025-10-02,609184,The Pancake Snob,1184943,"The Pancake Snob (Brooklyn, NY)",NULL,Adjustment,70c8b0ff-ad8f-3001-bab6-34b3db79f91f,14689386453,DB79F91F,DB79F91F,6b66cba7-b43a-4c97-8168-53537a383030,Marketplace,NULL,0.00,5.54
2025-09-22 08:27:34.16209,2025-10-02,609184,The Pancake Snob,1184943,"The Pancake Snob (Brooklyn, NY)",NULL,Adjustment,adc3b9d7-e027-3001-a606-bc19ee778154,14671754065,EE778154,EE778154,5e6e64f8-795a-4809-b0a4-1ef313d6cb20,Marketplace,NULL,0.00,2.34
2025-10-03 23:41:59.986996,NULL,321574,The Pasta Twins,1185887,"The Pasta Twins (New York, NY)",NULL,Adjustment,NULL,14788517118,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,53.05
2025-09-22 10:03:08.902621,2025-10-02,609184,The Pancake Snob,1194035,The Pancake Snob (1st Ave),NULL,Adjustment,ca0f6ac5-fb02-3001-981b-59e2e0b24a87,14672060229,E0B24A87,E0B24A87,4406e5f6-f74d-4df8-8fa6-46f882c159eb,Marketplace,NULL,0.00,4.16
2025-10-03 23:42:32.61145,NULL,222504,NY Burger Spot,1209803,"NY Burger Spot (Jamaica, NY)",NULL,Adjustment,NULL,14788521972,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,20.62
2025-10-03 20:42:38.298251,NULL,894496,Breakfast Burrito Floozy,1228046,"Breakfast Burrito Floozy (Virtual Brand)(Long Beach, CA)",NULL,Adjustment,NULL,14788522812,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,29.66
2025-10-02 19:11:47.891816,NULL,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,aec7697d-19b5-3001-bee5-f53001b11084,14776718295,01B11084,01B11084,b82a64ce-c1c3-4617-a9e0-62931ca714e8,Marketplace,1 Chicken Tikka Masala incorrect,-6.03,0.00
2025-10-02 13:30:05.600787,NULL,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,da844dea-22a9-3001-9d71-15d783ed50b3,14772484833,83ED50B3,83ED50B3,11e34391-c8e0-4d84-9f35-18244efd58a3,Marketplace,"1 Paneer Tikka Masala incorrect
1 Mild Spicy Butter Chicken incorrect",-13.14,0.00
2025-09-30 19:19:40.943306,NULL,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,6685a335-7555-3001-89d4-a0f36cceb9e1,14757452571,6CCEB9E1,6CCEB9E1,d3057774-b8e3-426f-b6b4-7952ceb99b35,Marketplace,1 Malai Kofta missing,-10.53,0.00
